UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
194435,2010,A,,A,,A,,R,57.0,R,0.0,R,57.0,R,48.0,R,84.0,R,47.0,R,0.0,R,47.0,R,44.0,R,94.0,R,20
194453,2010,A,,A,,A,,R,68.0,R,0.0,R,68.0,R,56.0,R,82.0,R,13.0,R,0.0,R,13.0,R,10.0,R,77.0,R,20
194499,2010,R,237.0,R,318.0,R,75.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,28
194541,2010,R,306.0,R,534.0,R,57.0,R,366.0,R,0.0,R,366.0,R,313.0,R,86.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13
194569,2010,R,26.0,R,111.0,R,23.0,R,21.0,R,0.0,R,21.0,R,16.0,R,76.0,R,3.0,R,0.0,R,3.0,R,1.0,R,33.0,R,16
194578,2010,R,711.0,R,1327.0,R,54.0,R,615.0,R,2.0,R,613.0,R,491.0,R,80.0,R,4.0,Z,0.0,R,4.0,R,2.0,R,50.0,R,10
194611,2010,R,358.0,R,358.0,R,100.0,R,520.0,Z,0.0,R,520.0,R,261.0,R,50.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15
194657,2010,R,40.0,R,62.0,R,65.0,R,34.0,R,0.0,R,34.0,R,30.0,R,88.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13
194666,2010,R,55.0,R,90.0,R,61.0,R,43.0,R,0.0,R,43.0,R,42.0,R,98.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,34
194675,2010,R,2.0,R,2.0,R,100.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12
194693,2010,R,2.0,R,24.0,R,8.0,R,1.0,R,0.0,R,1.0,R,1.0,R,100.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,10
194718,2010,R,18.0,R,18.0,R,100.0,R,19.0,R,0.0,R,19.0,R,15.0,R,79.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,19
194736,2010,A,,A,,A,,R,32.0,R,0.0,R,32.0,R,27.0,R,84.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,9
194763,2010,R,77.0,R,77.0,R,100.0,R,83.0,Z,0.0,R,83.0,R,11.0,R,13.0,R,0.0,Z,0.0,R,0.0,R,0.0,A,,R,58
194824,2010,R,1154.0,R,1355.0,R,85.0,R,1337.0,R,0.0,R,1337.0,R,1217.0,R,91.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,16
194879,2010,A,,A,,A,,R,35.0,R,0.0,R,35.0,R,22.0,R,63.0,R,11.0,R,0.0,R,11.0,R,5.0,R,45.0,R,7
194958,2010,R,203.0,R,307.0,R,66.0,R,259.0,R,0.0,R,259.0,R,215.0,R,83.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,13
194967,2010,A,,A,,A,,R,140.0,R,0.0,R,140.0,R,58.0,R,41.0,R,121.0,R,0.0,R,121.0,R,53.0,R,44.0,R,32
